A,B,C,D,E,F
763,379,964,90,203,833
690,774,756,852,236,328
215,336,430,479,816,786
294,417,692,563,482,858
393,610,225,934,899,253
876,88,928,616,768,448
644,955,457,713,339,50
123,587,183,666,583,411
930,115,61,610,887,893
484,853,105,114,673,366
302,45,291,302,111,205
686,683,862,802,151,50
356,629,555,38,920,711
292,440,912,718,864,681
587,756,270,281,605,648
741,585,160,990,42,653
755,42,615,839,332,71
314,155,824,349,462,612
782,188,934,341,426,122
128,850,218,406,772,102
703,333,439,761,508,942
803,984,731,246,994,83
998,136,612,172,240,301
291,998,181,593,987,458
532,720,695,381,787,965
254,974,532,534,247,54
238,670,38,824,56,275
940,160,138,752,859,649
386,774,100,345,143,615
475,917,561,522,288,181
532,221,727,800,65,737
697,795,556,405,782,540
296,32,859,164,28,8
746,420,576,31,871,766
214,989,661,492,811,361
986,134,991,309,410,92
472,9,543,582,369,369
67,955,943,553,437,800
152,725,511,313,221,339
588,998,995,635,836,583
647,118,790,463,576,559
736,433,938,624,88,574
432,217,816,227,129,537
208,364,810,739,384,809
39,276,912,596,394,782
359,58,158,356,888,693
588,918,352,933,987,679
836,69,873,910,186,516
307,156,796,256,780,765
751,636,86,590,607,6
871,750,899,625,387,927
617,227,816,297,494,777
664,985,858,315,93,603
249,854,527,499,378,489
975,113,747,398,924,756
834,980,604,125,949,884
313,498,374,755,876,485
737,672,86,104,39,865
508,710,265,960,881,527
592,544,12,8,725,92
459,334,846,900,211,984
260,137,101,900,543,463
176,295,969,22,767,811
24,238,87,629,66,27
305,541,632,232,303,684
670,9,380,941,118,701
984,345,178,629,735,307
729,509,262,850,637,320
268,600,667,1000,742,840
330,19,964,746,263,264
846,601,142,553,899,210
688,72,866,407,697,412
612,857,899,511,144,384
987,368,673,225,409,640
54,903,117,696,94,140
174,408,189,676,864,607
17,583,715,258,503,943
164,483,450,185,527,159
710,172,796,191,720,847
137,389,920,588,457,805
551,256,287,532,983,150
424,547,223,181,104,375
717,405,666,831,710,261
322,755,603,876,615,585
701,632,880,29,480,275
22,73,512,672,315,245
92,428,794,806,922,336
310,521,559,833,928,71
149,99,807,441,908,712
317,253,305,723,136,764
322,487,112,589,166,72
603,80,754,556,947,616
825,75,9,187,935,292
266,259,877,303,55,442
446,174,677,589,623,95
294,815,5,154,546,245
485,839,745,843,435,533
816,33,260,826,635,554
185,851,677,146,700,466
537,386,530,89,628,421
964,646,143,764,602,923
42,862,610,499,253,813
561,500,820,26,5,31
198,559,775,917,503,531
697,919,842,698,279,683
115,844,212,653,414,517
383,418,138,530,617,547
369,768,532,217,68,796
998,93,855,248,208,985
7,945,183,268,68,972
479,451,827,127,796,79
322,420,857,438,573,198
59,506,708,284,510,277
771,847,535,414,173,833
420,447,862,257,48,303
335,93,322,328,430,276
117,698,34,171,752,425
400,710,977,91,444,269
749,821,800,546,808,147
101,736,337,743,393,346
704,906,880,319,198,96
678,341,694,417,897,449
213,417,263,405,59,204
738,504,923,461,393,836
717,222,839,838,543,187
337,223,255,84,584,269
262,897,309,646,474,511
108,811,740,585,125,418
206,444,119,38,961,728
456,226,155,444,405,860
264,502,139,289,627,368
499,872,200,373,237,344
233,880,804,499,262,576
454,577,416,333,505,480
217,828,140,544,38,660
466,145,784,135,688,670
450,700,537,284,32,181
796,276,365,68,593,845
903,780,599,820,945,503
263,448,137,51,743,329
841,517,665,178,152,763
277,409,670,104,319,915
43,673,369,416,390,29
406,380,386,261,465,260
536,490,594,992,514,917
211,481,884,84,235,265
643,964,301,366,763,489
427,353,579,295,591,534
888,335,973,857,396,719
161,567,878,239,419,90
976,666,631,526,419,403
658,999,267,651,516,615
578,598,11,518,694,47
825,712,609,675,369,697
5,470,831,596,480,958
235,165,794,211,130,676
752,428,41,93,607,543
208,641,346,317,812,4
26,349,164,281,657,587
999,201,782,903,47,57
961,570,854,246,494,72
176,330,417,502,325,136
646,839,926,791,642,715
184,823,17,221,62,388
937,932,980,159,170,488
54,546,509,992,811,157
389,533,986,915,324,213
652,965,359,896,500,463
295,557,379,524,669,379
68,715,641,321,128,474
9,419,555,292,133,93
222,256,695,787,828,646
446,697,96,734,863,599
946,669,14,847,587,910
536,319,350,236,765,892
835,363,862,913,834,754
805,325,79,800,665,356
879,42,170,829,256,590
